target_gamma_c,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.3,1.0,1.0,0.0,0.0,0.0,0.0
0.325,1.0,1.0,0.0,0.0,0.0,0.0
0.35,1.0,1.0,0.0,0.0,0.0,0.0
0.375,1.0,1.0,0.0,0.0,0.0,0.0
0.4,1.0,1.0,0.0,0.0,0.0,0.0
0.425,1.0,1.0,0.0,0.0,0.0,0.0
0.45,0.98,0.98,0.043988964297093605,-2.068854250100001,10.710791762923616,535.7876178635678
0.475,1.0,1.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.0,0.0,0.0
0.525,1.0,1.0,0.0,0.0,0.0,0.0
0.55,1.0,1.0,0.0,0.0,0.0,0.0
0.575,1.0,1.0,0.0,0.0,0.0,0.0
0.6,1.0,1.0,0.0,0.0,0.0,0.0
