k,bar_beta_opt,welfare_pct_change
0.2,1.0,0.0
0.4,1.0,0.0
0.6000000000000001,1.0,0.0
0.8,1.0,0.0
1.0,1.0,0.0
1.2,1.0,0.0
1.4000000000000001,1.0,0.0
1.6,1.0,0.0
1.8,1.0,0.0
2.0,1.0,0.0
2.2,1.0,0.0
2.4000000000000004,1.0,0.0
2.6000000000000005,1.0,0.0
2.8000000000000003,1.0,0.0
3.0000000000000004,1.0,0.0
