target_noise,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.0,1.0,1.0,0.0,0.0,0.0,0.0
0.05,1.0,1.0,0.0,0.0,0.0,0.0
0.1,1.0,1.0,0.0,0.0,0.0,0.0
0.15,1.0,1.0,0.0,0.0,0.0,0.0
0.2,0.98,0.98,0.043988964297093605,-2.068854250100001,10.710791762923616,535.7876178635678
0.25,0.98,0.98,0.0008407815478726356,-2.0687915439335773,10.738741329143243,531.388753933588
0.3,1.0,1.0,0.0,0.0,0.0,0.0
0.35,1.0,1.0,0.0,0.0,0.0,0.0
0.4,1.0,1.0,0.0,0.0,0.0,0.0
0.45,1.0,1.0,0.0,0.0,0.0,0.0
0.5,1.0,1.0,0.0,0.0,0.0,0.0
0.55,1.0,1.0,0.0,0.0,0.0,0.0
0.6,1.0,1.0,0.0,0.0,0.0,0.0
0.65,1.0,1.0,0.0,0.0,0.0,0.0
0.7,1.0,1.0,0.0,0.0,0.0,0.0
0.75,1.0,1.0,0.0,0.0,0.0,0.0
0.8,1.0,1.0,0.0,0.0,0.0,0.0
0.85,1.0,1.0,0.0,0.0,0.0,0.0
0.9,1.0,1.0,0.0,0.0,0.0,0.0
0.95,1.0,1.0,0.0,0.0,0.0,0.0
