target_zeta,bar_beta_opt,bar_star_opt,welfare_pct_change,innov_welfare_pct_change,imit_welfare_pct_change,non_invest_welfare_pct_change
0.0,0.07,0.07,87.50664289650365,-93.99095344903336,96.66834605384979,9152.062104242812
0.01,0.07,0.07,87.3191486963478,-93.9461926689973,96.62752935212568,9153.864786669783
0.02,0.07,0.07,88.6024505615301,-93.9004593128277,96.72940923354162,9155.864743770666
0.03,0.07,0.07,93.38868778455571,-93.85371760817284,96.7004650532361,9157.594382729349
0.04,0.07,0.07,93.48879969406005,-93.8059351950468,96.65950781952182,9159.275160699091
0.05,0.07,0.07,96.97264624306528,-93.75707877613934,96.62559906129647,9161.146125330133
0.06,0.07,0.07,100.02657714906185,-93.70710955798381,96.59039746415881,9162.90891006151
0.07,0.07,0.07,102.99770307524582,-93.65598682573882,96.55345326460792,9164.592189155353
0.08,0.07,0.07,109.21615141619336,-93.60367530742472,96.72557275327542,9166.246392515863
0.09,0.07,0.07,108.81665099373724,-93.55013005893316,96.6877200720402,9167.807968757614
0.1,0.07,0.07,109.44491991067983,-93.49530809337537,96.64460612810909,9169.398319084217
0.11,0.07,0.07,109.01196488980412,-93.43916268371699,96.59812265949924,9170.965683379662
0.12,0.07,0.07,117.67694363853245,-93.38164459574708,96.81069942710937,9172.43774794661
0.13,0.07,0.07,121.57428622615716,-93.32270323451858,96.77427762272026,9173.849254627854
0.14,0.07,0.07,124.76576684209864,-93.26228605677787,96.73538882905879,9175.398766009495
0.15,0.07,0.07,126.04454283000206,-93.20033530299658,96.92336001800686,9176.74867256462
0.16,0.07,0.07,126.13065083649974,-93.13679397016041,96.87898148626545,9178.136368047457
0.17,0.07,0.07,131.2534029734134,-93.07159858157532,97.02565694732242,9179.468955126
0.18,0.07,0.07,134.20415400071636,-93.0046839966421,97.10418195992445,9180.771686496675
0.19,0.07,0.07,135.9312920670031,-92.93605681468689,97.15316779722875,9188.489100717257
0.2,0.07,0.06999999999999999,135.59870306567842,-92.86553065071168,97.1222422424513,9192.7990402938
