c_min_cost,bar_beta_opt,welfare_pct_change
0.0,0.01,10.454219976046797
0.05,1.0,0.0
0.1,1.0,0.0
0.15000000000000002,1.0,0.0
0.2,1.0,0.0
0.25,1.0,0.0
0.30000000000000004,1.0,0.0
0.35000000000000003,1.0,0.0
0.4,1.0,0.0
0.45,1.0,0.0
0.5,1.0,0.0
